player_id,player_display_name,position,team,week,attempts,passing_yards,carries,rushing_yards,targets,receptions,receiving_yards
00-0035280,Jake Bailey,P,MIA,1,0,0,0,0,0,0,0
00-0035301,Donovan Wilson,SAF,DAL,1,0,0,0,0,0,0,0
00-0035316,Kaden Elliss,LB,ATL,1,0,0,0,0,0,0,0
00-0035330,Anthony Pittman,LB,DET,1,0,0,0,0,0,0,0
00-0035352,Tyrel Dodson,LB,MIA,1,0,0,0,0,0,0,0
00-0035357,Cam Lewis,CB,BUF,1,0,0,0,0,0,0,0
00-0035358,Chase McLaughlin,K,TB,1,0,0,0,0,0,0,0
00-0035378,Andrew Wingard,SAF,JAX,1,0,0,0,0,0,0,0
00-0035402,Carl Granderson,DE,NO,1,0,0,0,0,0,0,0
00-0035413,Luke Gifford,LB,SF,1,0,0,0,0,0,0,0
00-0035500,Greg Dortch,WR,ARI,1,0,0,0,0,1,1,-2
00-0035525,Devin Bush,LB,CLE,1,0,0,0,0,0,0,0
00-0035535,Darius Slayton,WR,NYG,1,0,0,0,0,1,0,0
00-0035537,Ty Johnson,RB,BUF,1,0,0,2,24,2,0,0
00-0035567,Craig Reynolds,RB,DET,1,0,0,0,0,0,0,0
00-0035602,Alex Bachman,WR,LV,1,0,0,0,0,1,0,0
00-0035617,Troy Reeder,LB,LA,1,0,0,0,0,0,0,0
00-0035625,Juan Thornhill,SAF,PIT,1,0,0,0,0,0,0,0
00-0035631,Drew Sample,TE,CIN,1,0,0,0,0,1,0,0
00-0035632,Amani Hooker,SAF,TEN,1,0,0,0,0,0,0,0
00-0035633,Corey Ballentine,DB,NE,1,0,0,0,0,0,0,0
00-0035636,L.J. Collier,DE,ARI,1,0,0,0,0,0,0,0
00-0035637,Rock Ya-Sin,CB,DET,1,0,0,0,0,0,0,0
00-0035640,DK Metcalf,WR,PIT,1,0,0,0,0,7,4,83
00-0035642,Josh Hines-Allen,DE,JAX,1,0,0,0,0,0,0,0
00-0035643,Jeffery Simmons,DT,TEN,1,0,0,0,0,0,0,0
00-0035644,Noah Fant,TE,CIN,1,0,0,0,0,5,4,26
00-0035645,Gunner Olszewski,WR,NYG,1,0,0,0,0,0,0,0
